url,source_types,agency_ids,agency_name,agency_category,fy_min,fy_max,expected_rows
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0507.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,113
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0508.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,190
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0509.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,352
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0510.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,162
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0511.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,107
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0512.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2023,2023,70
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0604.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,43
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0605.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,21
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0606.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,45
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0607.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,62
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0608.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,60
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0609.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,138
https://warp.ndl.go.jp/20250510/20250509054434/https://www.mod.go.jp/asdf/3dep/prd/kakusyukouhyou/koukyou/koukyou_excell/zuikei/kouhyou-z-0610.xlsx,excel,asdf_3dep,第3補給処,航空自衛隊,2024,2024,155
